"ch"	"Twin"	"Year"	"DayBorn"	"DamID"
"0000000000000000000000001010101010101010101010101010101010101010101010101010101011000000000000000000000000000000000000000000"	1	2013	0.0375974532068564	"M101102"
"0000000000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2013	0.0375974532068564	"M101102"
"0000000000000000000000000000000000101010101010101010101011000000000000000000000000000000000000000000000000000000000000000000"	0	2013	0.929331920292544	"M101103"
"0000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2014	-1.38917769413024	"M040907"
"0000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2014	-1.38917769413024	"M040907"
"0000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2014	-0.854137013878832	"M041102"
"0000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2014	-0.854137013878832	"M041102"
"0000000000000000000000101010101010101010101100000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2014	-0.140749440210281	"M041103"
"0000000000000000000000101010101010101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000"	1	2014	-0.140749440210281	"M041103"
"0000000000000000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	0	2014	-0.140749440210281	"M041104"
"0000000000000000001010101010101010101010101010101010101010101010101010101010110000000000000000000000000000000000000000000000"	0	2014	-0.497443227044556	"M041106"
"0000000000000000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	0	2014	0.572638133458269	"M041107"
"0000000000000000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	0	2014	1.28602570712682	"M041109"
"0000000000000000000000000000001010101010101010101010101010101010101010101010101010101010101010110000000000000000000000000000"	1	2014	0.572638133458269	"M041110"
"0000000000000000000000000000001010101010101010101010101010101010101010101010101010101010101010100000000000000000000000000000"	1	2014	0.572638133458269	"M041110"
"0000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2014	-1.21083080071311	"M041111"
"0000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2014	-1.21083080071311	"M041111"
"0000000010101010101010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2014	-1.38917769413024	"M041113"
"0000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010000000"	1	2014	-1.21083080071311	"M041114"
"0000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101000000000"	1	2014	-1.21083080071311	"M041114"
"0000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2014	0.215944346623994	"M041115"
"0000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2014	0.215944346623994	"M041115"
"0000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2014	-0.854137013878832	"M041116"
"0000000000000010101010101010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2014	-0.854137013878832	"M041116"
"0000000000000010101010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2014	-0.854137013878832	"M101001"
"0000000000000000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	0	2014	0.572638133458269	"M101008"
"0000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2014	-0.854137013878832	"M101009"
"0000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2014	-0.854137013878832	"M101009"
"0000000000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2014	0.750985026875407	"M101010"
"0000000000000000000000000000000010101010101010101010101010101010101010101010101010110000000000000000000000000000000000000000"	1	2014	0.750985026875407	"M101010"
"0000000000000010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2014	-0.854137013878832	"M101101"
"0000000000001010101010101010101010101010101100000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2014	-1.03248390729597	"M101102"
"0000000000001010101010101010101010101010101100000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2014	-1.03248390729597	"M101102"
"0000000000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2014	0.750985026875407	"M101103"
"0000000000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2014	0.750985026875407	"M101103"
"0000000000000000101010101010101010101010101010101010101010101011000000000000000000000000000000000000000000000000000000000000"	1	2015	-0.675790120461694	"M040907"
"0000000000000000101010101010101010101010101010101010101010101011000000000000000000000000000000000000000000000000000000000000"	1	2015	-0.675790120461694	"M040907"
